"path","size_bytes","sha256"
"README.md","1509","6BED66FCEB959F7D136180F5ECC5E1C1822FB3B6209C81343C8308761D59C690"
"audit/stkg_v2_competency_queries.json","128549","997EDFDF3B0F6AFF51D858CD03C621FA478A6DE7B5D8F200B15A3BDD778C1CAF"
"audit/stkg_v2_creative_media.json","2093","664B1E5444B5D8F3944EC86630F5387D8D54F97D3C1967FB0103A527CD79A4A6"
"audit/stkg_v2_event_culture.json","2554","0F3A1EBB0FAFB5878016DEF971B259815C840E681AB3D1746961C37DB16D6CAF"
"audit/stkg_v2_evolution.json","2338","1E6FA919D9523E988E982C96799FC3F3AE0DFAC8AC99A5E9AF80FB53F3C882C4"
"audit/stkg_v2_final_materialization.json","1430","5FEBAB189781A0B41F0E50C34A136E16705FEE0D831D231C5D076C35A5A68670"
"audit/stkg_v2_final_tests.log","276","64B4AADE7BAFF6F283A64D25AC72F6CC0D0351819B3309577ADFC486A5FDDDE2"
"audit/stkg_v2_full_audit.json","70449","D325F0CC8B193A834B0C97BD1CB20E600A59910B7C9A275E00D8E3BA027C6A59"
"audit/stkg_v2_full_audit.md","1745","9EF8F64E3AE8BD299CA0CF92156C380A28ED46D13A33D6C9B25CC376A7086E26"
"audit/stkg_v2_graph_export.json","2584","B9212BAC293A50B14EA6032881D7E78860D6445F849E583EA343F85621AA9351"
"audit/stkg_v2_neo4j_import.json","13993","9943BF9D509E9DCC09FA5AAF4A4A7E3D9E2611691E8871D503057326AEA3612D"
"audit/stkg_v2_neo4j_verification.json","13491","07FD7F5AE8B4996C829B179C8BFF59AFDC61804B71FC4A7FD94C8C91BC71256A"
"audit/stkg_v2_research_base.json","1826","AF8629136583183F5C8BAF06623EB086A306D4FFCD55E47B8F53A458384A4CC4"
"code/scripts/255_initialize_stkg_v2_semantic_repair.py","19926","88FB3313E7C9CE1934ECF2074E792B18CA35185084551AD5887D943B2188613C"
"code/scripts/256_label_and_fuse_stkg_v2_semantics.py","25357","4C4A5013F0D44DD8B63382B6305F0F1FF9DA93C95638DEA133115E9C8B1CB63E"
"code/scripts/257_qwen_adjudicate_one_stkg_v2_task.py","29755","D69996622592BE6B560D34655B59431013A80C59738EF92C29E9F75E6A68F098"
"code/scripts/258_qwen_stkg_v2_task_pool.py","6631","84A353F023319EDE6E7C450AB10F5543D634C480DF836BA67820A9CDE77C740D"
"code/scripts/259_resolve_compatible_stkg_v2_subtypes.py","14896","E5D5A3C2AA6EBABD415767908D9B45284C2A6CF342B9E2393BB8BA81B9316A52"
"code/scripts/260_train_evaluate_stkg_v2_entity_classifier.py","17732","7D0B6DBD925EE4B632B2E4A041BCC6D1C1B11FD86F4D8D428BB41CD867C50C4C"
"code/scripts/261_prepare_stkg_v2_classifier_review.py","4903","EA349EE0BFAA9F297E1547BAF07FFD78E8755DE011B7FADDA30E6B3E72D8BF0D"
"code/scripts/262_flag_stkg_v2_identity_ambiguity.py","5593","5D0F07035461D248A8DF73B5646ECB983EAF9734F5A164B5371F5A597990B7F2"
"code/scripts/263_prepare_stkg_v2_model_second_review.py","4500","166D24B3ECD88BAB03DF33331BC263E6383D3CA050B6C1AB2E268A4474AB9A0C"
"code/scripts/264_close_stkg_v2_classifier_same_type.py","6420","3B410B275821A783B4686BC28D27263713FB5404CCB132CB64F2F39DD6D7579A"
"code/scripts/265_reopen_identity_conflicts_closed_by_type_review.py","3298","570662634010BE85508A00EDB7E5BA8ECAD4373C057AD96793CC9BD213B3207D"
"code/scripts/266_add_stkg_v2_semantic_query_indexes.py","2924","1065198B7065413778C246BE81F3E40331EAFC6BB4763F1D09E37C5F4A6BB784"
"code/scripts/267_materialize_stkg_v2_cultural_sites.py","6988","CA5317A5BD70DFF2F09B4D8F8503974050BA2E9E426661D330722E1FFBCB41ED"
"code/scripts/268_materialize_stkg_v2_spatial_anchors.py","15335","FEC6209E39CA600F6D373B62C2EDF80F26B627962D240CFB09CCDE8A69A7CE05"
"code/scripts/269_restore_stkg_v2_strict_place_descriptors.py","7037","E30F62D08C35DF55FD50CC1CD68E3DA15F8DC93F91C492413AAE9B8F08D5AADA"
"code/scripts/270_resolve_stkg_v2_spatial_reference_entities.py","11373","ECD3973F5E65E8F2CAA76DB246D41EC1809637F2A4FBFA61374E907210A3A002"
